Time,Value
1687040777158755646,6.89
1687040777241752919,6.89
1687040777242750500,6.89
1687040777243756597,6.89
1687040777244758276,6.89
1687040777245752410,6.89
1687040777246753037,6.89
1687040777247749355,6.89
1687040777248746736,6.89
1687040777249752812,6.89
1687040777250750403,6.89
1687040777251745510,6.89
1687040777252751967,6.89
1687040777253750350,6.89
1687040777254748782,6.89
1687040777255758716,6.89
1687040777256754694,6.89
1687040777257746624,6.89
1687040777258748844,6.89
1687040777259743489,6.89
1687040777260741841,6.89
1687040777261751625,6.89
1687040777262748605,6.89
1687040777263740685,6.89
1687040777264741983,6.89
1687040777265747509,6.89
1687040777266745841,6.89
1687040777267749433,6.89
1687040777268745361,6.89
1687040777269749104,6.89
1687040777270751003,6.89
1687040777271758642,6.89
1687040777272758457,6.89
1687040777273752011,6.89
1687040777274749662,6.89
1687040777275755348,6.89
1687040777276747468,6.89
1687040777277752784,6.89
1687040777278744083,6.89
1687040777279751793,6.89
1687040777280756487,6.89
1687040777281748698,6.89
1687040777282745267,6.89
1687040777283749179,6.89
1687040777284744536,6.89
1687040777285750623,6.89
1687040777286758523,6.89
1687040777287752337,6.89
1687040777288751331,6.89
1687040777289751045,6.89
1687040777290751922,6.89
1687040777291750104,6.89
1687040777292745060,6.89
1687040777293757279,6.89
1687040777294751413,6.89
1687040777295749174,6.89
1687040777296750322,6.89
1687040777297748213,6.89
1687040777298750914,6.89
1687040777299760597,6.89
1687040777300746025,6.89
1687040777301751571,6.89
1687040777302750635,6.89
1687040777303751642,6.89
1687040777304750325,6.89
1687040777305747345,6.89
1687040777306743694,6.89
1687040777307755852,6.89
1687040777308748052,6.89
1687040777309753047,6.89
1687040777310748695,6.89
1687040777311750744,6.89
1687040777312752713,6.89
1687040777313752167,6.89
1687040777314748055,6.89
1687040777315751066,6.89
1687040777316746282,6.89
1687040777317758190,6.89
1687040777318764608,6.89
1687040777319748322,6.89
1687040777320740313,6.89
1687040777321743344,6.89
1687040777322749331,6.89
1687040777323744998,nan
1687040777326752688,6.89
1687040777327768013,6.89
1687040777328754583,6.89
1687040777329745491,6.89
1687040777330753031,6.89
1687040777331746434,6.89
1687040777332754164,6.89
1687040777333750272,6.89
1687040777334758753,6.89
1687040777335751725,6.89
1687040777336756269,6.89
1687040777337750394,6.89
1687040777338755028,6.89
1687040777339743762,6.89
1687040777340754187,6.89
1687040777341750385,6.89
1687040777342751643,6.89
1687040777343749925,6.89
1687040777344763696,6.89
1687040777345751629,6.89
1687040777346750482,6.89
1687040777347751059,6.89
1687040777348747728,6.89
1687040777349751711,6.89
1687040777350753209,6.89
1687040777351754888,6.89
1687040777352747509,6.89
1687040777353745140,6.89
1687040777354749544,6.89
1687040777355761402,6.89
1687040777356750987,6.89
1687040777357747827,6.89
1687040777358750798,6.89
1687040777359743369,6.89
1687040777360748985,6.89
1687040777361743901,6.89
1687040777362742444,6.89
1687040777363758650,6.89
1687040777364761490,6.89
1687040777365759212,6.89
1687040777366749409,6.89
1687040777367745296,6.89
1687040777368744490,6.89
1687040777369763171,6.89
1687040777370750953,6.89
1687040777371746330,6.89
1687040777372742909,6.89
1687040777373760297,6.89
1687040777374750574,6.89
1687040777375748215,6.89
1687040777376746627,6.89
1687040777377761380,6.89
1687040777378743623,6.89
1687040777379747084,6.89
1687040777380752520,6.89
1687040777381735614,6.89
1687040777382766808,6.89
1687040777383762285,6.89
1687040777384750107,6.89
1687040777385744362,6.89
1687040777386750459,6.89
1687040777387746386,6.89
1687040777388752483,6.89
1687040777389758350,6.89
1687040777390769807,6.89
1687040777391750656,6.89
1687040777392744971,6.89
1687040777393740307,6.89
1687040777394750141,6.89
1687040777395747151,6.89
1687040777396746145,6.89
1687040777397740640,6.89
1687040777398746256,6.89
1687040777399744107,6.89
1687040777400750785,6.89
1687040777401747444,6.89
1687040777402756226,6.89
1687040777403752905,6.89
1687040777404752019,6.89
1687040777405768716,6.89
1687040777406766978,6.89
1687040777407756183,6.89
1687040777408759665,6.89
1687040777409763157,6.89
1687040777410764204,6.89
1687040777411757948,6.89
1687040777412745139,6.89
1687040777413767647,6.89
1687040777414751462,6.89
1687040777415739855,6.89
1687040777416741534,6.89
1687040777417745437,6.89
1687040777418746604,6.89
1687040777419742753,6.89
1687040777420748990,6.89
1687040777421749326,6.89
1687040777422742268,6.89
1687040777423751050,6.89
1687040777424748991,6.89
1687040777425748456,6.89
1687040777426755985,6.89
1687040777427751001,6.89
1687040777428744444,6.89
1687040777429752685,6.89
1687040777430748843,6.89
1687040777431755551,6.89
1687040777432757971,6.89
1687040777433753338,6.89
1687040777434746220,6.89
1687040777435757677,6.89
1687040777436747543,6.89
1687040777437749272,6.89
1687040777438740671,6.89
1687040777439750024,6.89
1687040777440749188,6.89
1687040777441750506,6.89
1687040777442753427,6.89
1687040777443756268,6.88
1687040777444759709,6.88
1687040777445753884,6.88
1687040777446750072,6.88
1687040777447744988,6.88
1687040777448759020,6.88
1687040777449758995,6.88
1687040777450756977,6.88
1687040777451753085,6.88
1687040777452752098,6.88
1687040777453746513,6.88
1687040777454747260,6.88
1687040777455755631,6.88
1687040777456745207,6.88
1687040777457750422,6.88
1687040777458746671,6.89
1687040777459749602,6.89
1687040777460738266,6.89
