Time,Value
1687039979840431768,6.94
1687039979841422406,6.94
1687039979842419957,6.94
1687039979843422928,6.94
1687039979844425558,6.94
1687039979845421726,6.94
1687039979846418496,6.94
1687039979847421978,6.94
1687039979848435589,6.94
1687039979849423712,6.94
1687039979850422285,6.94
1687039979851420356,6.94
1687039979852421644,6.94
1687039979853428022,6.94
1687039979854417878,6.94
1687039979855424746,6.94
1687039979856436363,6.94
1687039979857423605,6.94
1687039979858426686,6.94
1687039979859426561,6.94
1687039979860422068,6.94
1687039979861422615,6.94
1687039979862419574,6.94
1687039979863418197,6.94
1687039979864415277,6.94
1687039979865414241,6.94
1687039979866419115,6.94
1687039979867426775,6.94
1687039979868417493,6.94
1687039979869414142,6.94
1687039979870425439,6.94
1687039979871421577,6.94
1687039979872421131,6.94
1687039979873417831,6.94
1687039979874417375,6.94
1687039979875423392,6.94
1687039979876441882,6.94
1687039979877427520,6.94
1687039979878426854,6.94
1687039979879441067,6.94
1687039979880426905,6.94
1687039979881419757,6.94
1687039979882427227,6.94
1687039979883423104,6.94
1687039979884422789,6.94
1687039979885412996,6.94
1687039979886426697,6.94
1687039979887421824,6.94
1687039979888422110,6.94
1687039979889417987,6.94
1687039979890425326,6.94
1687039979891419802,6.94
1687039979892428583,6.94
1687039979893416887,6.94
1687039979894421872,6.94
1687039979895422047,6.94
1687039979896423556,6.94
1687039979897422319,6.94
1687039979898421903,6.94
1687039979899420626,6.94
1687039979900420481,6.94
1687039979901420487,6.94
1687039979902420623,6.94
1687039979903425006,6.94
1687039979904434640,6.94
1687039979905418545,6.94
1687039979906428349,6.94
1687039979907433243,6.94
1687039979908417960,6.94
1687039979909430779,6.94
1687039979910425615,6.94
1687039979911425049,6.94
1687039979912425005,6.94
1687039979913419149,6.94
1687039979914436597,6.94
1687039979915425612,6.94
1687039979916425968,6.94
1687039979917429671,6.94
1687039979918420278,6.94
1687039979919425223,6.94
1687039979920424758,6.94
1687039979921419193,6.94
1687039979922415902,nan
1687039979925423522,6.94
1687039979926422896,6.94
1687039979927418103,6.94
1687039979928434729,6.94
1687039979929423163,6.94
1687039979930415845,6.94
1687039979931421270,6.94
1687039979932428970,6.94
1687039979933420149,6.94
1687039979934450141,6.94
1687039979935432323,6.94
1687039979936425876,6.94
1687039979937416093,6.94
1687039979938419615,6.94
1687039979939418659,6.94
1687039979940428933,6.94
1687039979941419321,6.94
1687039979942421881,6.94
1687039979943425503,6.94
1687039979944421070,6.94
1687039979945422669,6.94
1687039979946426000,6.94
1687039979947415807,6.94
1687039979948422645,6.94
1687039979949418252,6.94
1687039979950424479,6.94
1687039979951419816,6.94
1687039979952428127,6.94
1687039979953426810,6.94
1687039979954428498,6.94
1687039979955423394,6.94
1687039979956420364,6.94
1687039979957421001,6.94
1687039979958433690,6.94
1687039979959422073,6.94
1687039979960423451,6.94
1687039979961422775,6.94
1687039979962419785,6.94
1687039979963436021,6.94
1687039979964426529,6.94
1687039979965427266,6.94
1687039979966423283,6.94
1687039979967423459,6.94
1687039979968419657,6.94
1687039979969423590,6.94
1687039979970419628,6.94
1687039979971442977,6.94
1687039979972430289,6.94
1687039979973423672,6.94
1687039979974419590,6.94
1687039979975423332,6.94
1687039979976424099,6.94
1687039979977423163,6.94
1687039979978424020,6.94
1687039979979440857,6.94
1687039979980426325,6.94
1687039979981416692,6.94
1687039979982429902,6.94
1687039979983434727,6.94
1687039979984420926,6.94
1687039979985426783,6.94
1687039979986431477,6.94
1687039979987428787,6.94
1687039979988419495,6.94
1687039979989421154,6.94
1687039979990430196,6.94
1687039979991429871,6.94
1687039979992428965,6.94
1687039979993422137,6.94
1687039979994425349,6.94
1687039979995420375,6.94
1687039979996425620,6.94
1687039979997422299,6.94
1687039979998422545,6.94
1687039979999434723,6.94
1687039980000420632,6.94
1687039980001422371,6.94
1687039980002418198,6.94
1687039980003421300,6.94
1687039980004425202,6.94
1687039980005416942,6.94
1687039980006418461,6.94
1687039980007423706,6.94
1687039980008421788,6.94
1687039980009418176,6.94
1687039980010419745,6.94
1687039980011422445,6.94
1687039980012421088,6.94
1687039980013428758,6.94
1687039980014424615,6.94
1687039980015429139,6.94
1687039980016420649,6.94
1687039980017426976,6.94
1687039980018420399,6.94
1687039980019429181,6.94
