Time,Value
1687035127475465894,6.33
1687035127476453527,6.33
1687035127477466386,6.33
1687035127478452826,6.33
1687035127479449726,6.33
1687035127480466022,6.33
1687035127481460386,6.33
1687035127482470311,6.33
1687035127483462591,6.33
1687035127484452929,6.33
1687035127485463845,6.33
1687035127486453921,6.33
1687035127487456752,6.33
1687035127488453091,6.33
1687035127489453577,6.33
1687035127490448302,6.33
1687035127491455772,6.33
1687035127492462009,6.33
1687035127493461073,6.33
1687035127494460066,6.33
1687035127495451415,6.33
1687035127496442324,6.33
1687035127497455644,6.33
1687035127498452524,6.33
1687035127499450565,6.33
1687035127500466881,6.33
1687035127501456467,6.33
1687035127502457835,6.33
1687035127503451348,6.33
1687035127504450051,6.33
1687035127505445669,6.33
1687035127506457707,6.33
1687035127507454606,6.33
1687035127508452067,6.33
1687035127509455509,6.33
1687035127510462948,6.33
1687035127511455770,6.33
1687035127512448923,6.33
1687035127513452986,6.33
1687035127514452841,6.33
1687035127515454399,6.33
1687035127516455527,6.33
1687035127517461553,6.33
1687035127518463302,6.33
1687035127519453850,6.33
1687035127520450168,6.33
1687035127521454452,6.33
1687035127522459837,6.33
1687035127523454873,6.33
1687035127524452494,6.33
1687035127525454624,6.33
1687035127526457735,6.33
1687035127527453342,6.33
1687035127528445673,6.33
1687035127529451940,6.33
1687035127530454811,6.33
1687035127531455327,6.33
1687035127532458929,6.33
1687035127533463714,6.33
1687035127534452228,6.33
1687035127535463384,6.33
1687035127536459252,6.33
1687035127537450781,6.33
1687035127538455455,6.33
1687035127539455611,6.33
1687035127540460586,6.33
1687035127541452496,6.33
1687035127542454786,6.33
1687035127543455482,6.33
1687035127544456630,6.33
1687035127545471994,6.33
1687035127546457182,6.33
1687035127547454402,6.33
1687035127548461841,6.33
1687035127549455966,6.33
1687035127550456162,6.33
1687035127551451458,6.33
1687035127552447326,6.33
1687035127553457170,6.33
1687035127554445573,6.33
1687035127555461358,6.33
1687035127556456525,6.33
1687035127557457241,nan
1687035127560451597,6.33
1687035127561454698,6.33
1687035127562464482,6.33
1687035127563459809,6.33
1687035127564452510,6.33
1687035127565457876,6.33
1687035127566465606,6.33
1687035127567451525,6.33
1687035127568466538,6.33
1687035127569459030,6.33
1687035127570450499,6.33
1687035127571457127,6.33
1687035127572458054,6.33
1687035127573452509,6.33
1687035127574459037,6.33
1687035127575452740,6.33
1687035127576460300,6.33
1687035127577448253,6.33
1687035127578446906,6.33
1687035127579441611,6.33
1687035127580459730,6.33
1687035127581453234,6.33
1687035127582456144,6.33
1687035127583452253,6.33
1687035127584456606,6.33
1687035127585450440,6.33
1687035127586455014,6.33
1687035127587454869,6.33
1687035127588465514,6.33
1687035127589459368,6.33
1687035127590450437,6.33
