Time,Value
1687034420142171906,6.34
1687034420143161662,6.34
1687034420144166848,6.34
1687034420145167204,6.34
1687034420146167450,6.34
1687034420147163638,6.34
1687034420148162471,6.34
1687034420149166504,6.34
1687034420150163955,6.34
1687034420151163960,6.34
1687034420152161591,6.34
1687034420153163801,6.34
1687034420154158085,6.34
1687034420155160876,6.34
1687034420156162334,6.34
1687034420157162109,6.34
1687034420158161213,6.34
1687034420159166328,6.34
1687034420160163668,6.34
1687034420161163343,6.34
1687034420162162346,6.34
1687034420163183642,6.34
1687034420164173378,6.34
1687034420165172502,6.34
1687034420166174962,6.34
1687034420167163726,6.34
1687034420168165585,6.34
1687034420169163166,6.34
1687034420170160576,6.34
1687034420171162095,6.34
1687034420172157612,6.34
1687034420173157837,6.34
1687034420174157272,6.34
1687034420175162176,6.34
1687034420176157864,6.34
1687034420177156156,6.34
1687034420178158957,6.34
1687034420179161036,6.34
1687034420180171731,6.34
1687034420181162670,6.34
1687034420182158267,6.34
1687034420183163262,6.34
1687034420184159921,6.34
1687034420185175255,6.34
1687034420186164160,6.34
1687034420187161340,6.34
1687034420188162658,6.34
1687034420189158886,6.34
1687034420190178538,6.34
1687034420191181820,6.34
1687034420192164262,6.34
1687034420193159409,6.34
1687034420194176406,6.34
1687034420195169398,6.34
1687034420196184963,6.34
1687034420197161785,6.34
1687034420198178561,6.34
1687034420199160543,6.34
1687034420200160338,6.34
1687034420201172286,6.34
1687034420202160159,6.34
1687034420203157369,6.34
1687034420204152625,6.34
1687034420205160425,6.34
1687034420206162635,6.34
1687034420207163562,6.34
1687034420208165491,6.34
1687034420209169153,6.34
1687034420210161334,6.34
1687034420211158123,6.34
1687034420212159722,6.34
1687034420213162112,6.34
1687034420214170192,6.34
1687034420215163144,6.34
1687034420216156718,6.34
1687034420217156363,6.34
1687034420218160906,6.34
1687034420219157395,6.34
1687034420220162570,6.34
1687034420221156835,6.34
1687034420222164876,6.34
1687034420223163619,6.34
1687034420224171579,nan
1687034420227163069,6.34
1687034420228167122,6.34
1687034420229166847,6.34
1687034420230161783,6.34
1687034420231158162,6.34
1687034420232156684,6.34
1687034420233157080,6.34
1687034420234155413,6.34
1687034420235164185,6.34
1687034420236154231,6.34
1687034420237156842,6.34
1687034420238156156,6.34
1687034420239151542,6.34
1687034420240157239,6.34
1687034420241159388,6.34
1687034420242177347,6.34
1687034420243163326,6.34
1687034420244157461,6.34
1687034420245156174,6.34
1687034420246161178,6.34
1687034420247161695,6.34
1687034420248160428,6.34
1687034420249160213,6.34
1687034420250159477,6.34
1687034420251158390,6.34
1687034420252158355,6.34
1687034420253159192,6.34
1687034420254164548,6.34
1687034420255161347,6.34
1687034420256157706,6.34
1687034420257159214,6.34
1687034420258156234,6.34
1687034420259169083,6.34
1687034420260158920,6.34
1687034420261161159,6.34
1687034420262160674,6.34
1687034420263162372,6.34
1687034420264159022,6.34
1687034420265155009,6.34
1687034420266156367,6.34
1687034420267154429,6.34
1687034420268155677,6.34
1687034420269157325,6.34
1687034420270155968,6.34
1687034420271160663,6.34
1687034420272156690,6.34
1687034420273156095,6.34
1687034420274155900,6.34
1687034420275159251,6.34
1687034420276155560,6.34
1687034420277155946,6.34
1687034420278151383,6.34
1687034420279150366,6.34
1687034420280163106,6.34
1687034420281160176,6.34
1687034420282161373,6.34
1687034420283175225,6.34
1687034420284169379,6.34
1687034420285162892,6.34
1687034420286163449,6.34
1687034420287170548,6.34
1687034420288161336,6.34
1687034420289160279,6.34
1687034420290165304,6.34
1687034420291163576,6.34
1687034420292158853,6.34
1687034420293168666,6.34
1687034420294172820,6.34
1687034420295163117,6.34
1687034420296167260,6.34
1687034420297162687,6.34
1687034420298165417,6.34
1687034420299169781,6.34
1687034420300166781,6.34
1687034420301165985,6.34
1687034420302160309,6.34
1687034420303159243,6.34
1687034420304164708,6.34
1687034420305161187,6.34
1687034420306160041,6.34
1687034420307160547,6.34
1687034420308160502,6.34
1687034420309164425,6.34
1687034420310160533,6.34
1687034420311158805,6.34
1687034420312161165,6.34
1687034420313163835,6.34
1687034420314165404,6.34
1687034420315160811,6.34
1687034420316167739,6.34
1687034420317164508,6.34
1687034420318162240,6.34
1687034420319160121,6.34
1687034420320158844,6.34
1687034420321164560,6.34
1687034420322165307,6.34
1687034420323159552,6.34
1687034420324164496,6.34
1687034420325162428,6.34
1687034420326171159,6.34
1687034420327160395,6.34
1687034420328157555,6.34
1687034420329173660,6.34
1687034420330174928,6.34
1687034420331170866,6.34
1687034420332160302,6.34
1687034420333156981,6.34
1687034420334164120,6.34
1687034420335176658,6.34
1687034420336179499,6.34
1687034420337165589,6.34
1687034420338167307,6.34
1687034420339165790,6.34
1687034420340160395,6.34
1687034420341171211,6.34
