Time,Value
1687033271439704915,6.34
1687033271440694761,6.34
1687033271441696951,6.34
1687033271442693510,6.34
1687033271443691010,6.34
1687033271444692709,6.34
1687033271445697233,6.34
1687033271446691387,6.34
1687033271447691673,6.34
1687033271448690687,6.34
1687033271449695832,6.34
1687033271450692401,6.34
1687033271451690653,6.34
1687033271452688885,6.34
1687033271453697216,6.34
1687033271454695759,6.34
1687033271455692277,6.34
1687033271456693545,6.34
1687033271457699301,6.34
1687033271458697954,6.34
1687033271459701456,6.34
1687033271460696693,6.34
1687033271461693222,6.34
1687033271462703967,6.34
1687033271463706608,6.34
1687033271464709098,6.34
1687033271465702080,6.34
1687033271466699420,6.34
1687033271467700798,6.34
1687033271468696816,6.34
1687033271469699256,6.34
1687033271470696957,6.34
1687033271471696141,6.34
1687033271472706516,6.34
1687033271473698637,6.34
1687033271474697570,6.34
1687033271475696423,6.34
1687033271476692782,6.34
1687033271477692587,6.34
1687033271478697221,6.34
1687033271479694762,6.34
1687033271480689698,6.34
1687033271481689693,6.34
1687033271482690139,6.34
1687033271483699052,6.34
1687033271484692625,6.34
1687033271485691047,6.34
1687033271486691584,6.34
1687033271487698362,6.34
1687033271488701734,6.34
1687033271489701178,6.34
1687033271490697526,6.34
1687033271491701008,6.34
1687033271492700603,6.34
1687033271493693565,6.34
1687033271494689683,6.34
1687033271495703615,6.34
1687033271496692770,6.34
1687033271497697835,6.34
1687033271498697079,6.34
1687033271499704178,6.34
1687033271500696549,6.34
1687033271501701103,6.34
1687033271502699766,6.34
1687033271503702236,6.34
1687033271504698143,6.34
1687033271505700704,6.34
1687033271506692794,6.34
1687033271507697248,6.34
1687033271508697474,6.34
1687033271509701477,6.34
1687033271510697615,6.34
1687033271511707960,6.34
1687033271512697205,6.34
1687033271513697601,6.34
1687033271514698177,6.34
1687033271515698333,6.34
1687033271516695163,6.34
1687033271517697583,6.34
1687033271518695424,6.34
1687033271519700288,6.34
1687033271520695956,6.34
1687033271521693527,nan
1687033271524702399,6.34
1687033271525700461,6.34
1687033271526698102,6.34
1687033271527694341,6.34
1687033271528699816,6.34
1687033271529701074,6.34
1687033271530695729,6.34
1687033271531699121,6.34
1687033271532696662,6.34
1687033271533709221,6.34
1687033271534694809,6.34
1687033271535695666,6.34
1687033271536691103,6.34
1687033271537702550,6.34
1687033271538694891,6.34
1687033271539693744,6.34
1687033271540692067,6.34
1687033271541699085,6.34
1687033271542691637,6.34
1687033271543687775,6.34
1687033271544690405,6.34
1687033271545697664,6.34
1687033271546692089,6.34
1687033271547690251,6.34
1687033271548693112,6.34
1687033271549709678,6.34
1687033271550696900,6.34
1687033271551690573,6.34
1687033271552687944,6.34
1687033271553699150,6.34
1687033271554696721,6.34
1687033271555695995,6.34
1687033271556691742,6.34
1687033271557697328,6.34
1687033271558699177,6.34
1687033271559694484,6.34
1687033271560702384,6.34
1687033271561699955,6.34
1687033271562701283,6.34
1687033271563697150,6.34
1687033271564696364,6.34
1687033271565690368,6.34
1687033271566693810,6.34
1687033271567700779,6.34
1687033271568696085,6.34
1687033271569701902,6.34
1687033271570704562,6.34
1687033271571694809,6.34
1687033271572694604,6.34
1687033271573701112,6.34
1687033271574699965,6.34
1687033271575700291,6.34
1687033271576695227,6.34
1687033271577696034,6.34
1687033271578703253,6.34
1687033271579701816,6.34
1687033271580694698,6.34
1687033271581700374,6.34
1687033271582698746,6.34
1687033271583701006,6.34
1687033271584692054,6.34
1687033271585700806,6.34
1687033271586692065,6.34
1687033271587696840,6.34
1687033271588695512,6.34
1687033271589705637,6.34
1687033271590695884,6.34
1687033271591698464,6.34
1687033271592690715,6.34
1687033271593701240,6.34
1687033271594699202,6.34
1687033271595697193,6.34
1687033271596693742,6.34
1687033271597692846,6.34
1687033271598698372,6.34
1687033271599694109,6.34
1687033271600698493,6.34
1687033271601696515,6.34
1687033271602694306,6.34
1687033271603706644,6.34
1687033271604692383,6.34
1687033271605698831,6.34
1687033271606696882,6.34
1687033271607694443,6.34
1687033271608703145,6.34
1687033271609690987,6.34
1687033271610691454,6.34
1687033271611701067,6.34
1687033271612694821,6.34
1687033271613696529,6.34
1687033271614691475,6.34
1687033271615691230,6.34
1687033271616694953,6.34
1687033271617695569,6.34
1687033271618691126,6.34
1687033271619691482,6.34
1687033271620691438,6.34
1687033271621697545,6.34
1687033271622695126,6.34
1687033271623690853,6.34
1687033271624703662,6.34
1687033271625700832,6.34
1687033271626696961,6.34
1687033271627690504,6.34
1687033271628701129,6.34
1687033271629711234,6.34
1687033271630696682,6.34
1687033271631700574,6.34
1687033271632696061,6.34
1687033271633699784,6.34
1687033271634693537,6.34
1687033271635692491,6.34
1687033271636698588,6.34
1687033271637696800,6.34
1687033271638691585,6.34
1687033271639692543,6.34
1687033271640704220,6.34
1687033271641701069,6.34
1687033271642692228,6.34
1687033271643693436,6.34
1687033271644699242,6.34
1687033271645698747,6.34
1687033271646692550,6.34
1687033271647696143,6.34
1687033271648695687,6.34
1687033271649690613,6.34
1687033271650690368,6.34
1687033271651692868,6.34
1687033271652685610,6.34
1687033271653698259,6.34
1687033271654690440,6.34
1687033271655685857,6.34
1687033271656695280,6.34
1687033271657700966,6.34
1687033271658693778,6.34
1687033271659698141,6.34
1687033271660713606,6.34
1687033271661702440,6.34
1687033271662699149,6.34
1687033271663698463,6.34
1687033271664697898,6.34
1687033271665703894,6.34
1687033271666696716,6.34
1687033271667690210,6.34
1687033271668694934,6.34
1687033271669701151,6.34
1687033271670699894,6.34
1687033271671700991,6.34
1687033271672705034,6.34
1687033271673700531,6.34
1687033271674699034,6.34
1687033271675696004,6.34
1687033271676694947,6.34
1687033271677703378,6.34
1687033271678702031,6.34
1687033271679698189,6.34
1687033271680695259,6.34
1687033271681698310,6.34
1687033271682692525,6.34
1687033271683701457,6.34
1687033271684697014,6.34
1687033271685693483,6.34
1687033271686694380,6.34
1687033271687695928,6.34
1687033271688692046,6.34
1687033271689692964,6.34
1687033271690691236,6.34
1687033271691696762,6.34
1687033271692691898,6.34
1687033271693697223,6.34
1687033271694693932,6.34
1687033271695701943,6.34
1687033271696691749,6.34
1687033271697690152,6.34
1687033271698695707,6.34
1687033271699692407,6.34
1687033271700689907,6.34
1687033271701696114,6.34
1687033271702690058,6.34
1687033271703697889,6.34
1687033271704699497,6.34
1687033271705692119,6.34
1687033271706695009,6.34
1687033271707691608,6.34
1687033271708695651,6.34
1687033271709696909,6.34
1687033271710690883,6.34
1687033271711688725,6.34
1687033271712699140,6.34
1687033271713697271,6.34
1687033271714691236,6.34
1687033271715691161,6.34
1687033271716697278,6.34
1687033271717692664,6.34
1687033271718695475,6.34
1687033271719695521,6.34
1687033271720692781,6.34
1687033271721699749,6.34
1687033271722692451,6.34
1687033271723706413,6.34
1687033271724710205,6.34
1687033271725700142,6.34
1687033271726699626,6.34
1687033271727690765,6.34
1687033271728695229,6.34
1687033271729694483,6.34
1687033271730694057,6.34
1687033271731697619,6.34
1687033271732698647,6.34
1687033271733708951,6.34
1687033271734711562,6.34
1687033271735695467,6.34
1687033271736694460,6.34
1687033271737690769,6.34
1687033271738688731,6.34
1687033271739701530,6.34
1687033271740695183,6.34
1687033271741694598,6.34
1687033271742693581,6.34
1687033271743695390,6.34
1687033271744695315,6.34
1687033271745711080,6.34
1687033271746701187,6.34
1687033271747695863,6.34
1687033271748695858,6.34
1687033271749700252,6.34
1687033271750695528,6.34
1687033271751704841,6.34
1687033271752697553,6.34
1687033271753700083,6.34
1687033271754699637,6.34
1687033271755691237,6.34
1687033271756702333,6.34
1687033271757703210,6.34
1687033271758696012,6.34
1687033271759704914,6.34
1687033271760690633,6.34
1687033271761704344,6.34
1687033271762692267,6.34
1687033271763693054,6.34
1687033271764698570,6.34
1687033271765709225,6.34
1687033271766705153,6.34
1687033271767705228,6.34
1687033271768705013,6.34
1687033271769699248,6.34
1687033271770696358,6.34
1687033271771697055,6.34
1687033271772697912,6.34
1687033271773694450,6.34
1687033271774698834,6.34
1687033271775697497,6.34
1687033271776688405,6.34
1687033271777702387,6.34
1687033271778688536,6.34
1687033271779692329,6.34
1687033271780700850,6.34
1687033271781692560,6.34
1687033271782701793,6.34
1687033271783706197,6.34
1687033271784706793,6.34
1687033271785696339,6.34
1687033271786691555,6.34
1687033271787694767,6.34
1687033271788695794,6.34
1687033271789701300,6.34
1687033271790697418,6.34
1687033271791699066,6.34
1687033271792699142,6.34
1687033271793698055,6.34
1687033271794690416,6.34
1687033271795717422,6.34
1687033271796694325,6.34
1687033271797695662,6.34
1687033271798692011,6.34
1687033271799692257,6.34
1687033271800697192,6.34
1687033271801699171,6.34
1687033271802696150,6.34
1687033271803705002,6.34
1687033271804717581,6.34
1687033271805699162,6.34
1687033271806695651,6.34
1687033271807699995,6.34
1687033271808697886,6.34
1687033271809699785,6.34
1687033271810691214,6.34
1687033271811689847,6.34
1687033271812701094,6.34
1687033271813698624,6.34
1687033271814693871,6.34
1687033271815700349,6.34
1687033271816700925,6.34
1687033271817705830,6.34
1687033271818705765,6.34
1687033271819702574,6.34
1687033271820701568,6.34
1687033271821702004,6.34
1687033271822694626,6.34
1687033271823695352,6.34
1687033271824702882,6.34
1687033271825695153,6.34
1687033271826695769,6.34
1687033271827692318,6.34
1687033271828706761,6.34
1687033271829697749,6.34
1687033271830693206,6.34
1687033271831694554,6.34
1687033271832697906,6.34
1687033271833703502,6.34
1687033271834692396,6.34
1687033271835698203,6.34
1687033271836688590,6.34
1687033271837700277,6.34
1687033271838695123,6.34
1687033271839696782,6.34
1687033271840692689,6.34
1687033271841699147,6.34
1687033271842690726,6.34
1687033271843690572,6.34
1687033271844698772,6.34
1687033271845697626,6.34
1687033271846697841,6.34
1687033271847692817,6.34
1687033271848695297,6.34
1687033271849691796,6.34
1687033271850688896,6.34
1687033271851696586,6.34
1687033271852692804,6.34
1687033271853697949,6.34
1687033271854698766,6.34
1687033271855698571,6.34
1687033271856692105,6.34
1687033271857691900,6.34
1687033271858692727,6.34
1687033271859699565,6.34
1687033271860690583,6.34
1687033271861693975,6.34
1687033271862693299,6.34
1687033271863693976,6.34
1687033271864696997,6.34
1687033271865686413,6.34
1687033271866695154,6.34
1687033271867691343,6.34
1687033271868691478,6.34
1687033271869699860,6.34
1687033271870689856,6.34
1687033271871700021,6.34
1687033271872700547,6.34
1687033271873697907,6.34
1687033271874695158,6.34
1687033271875695353,6.34
1687033271876696511,6.34
1687033271877696927,6.34
1687033271878691663,6.34
1687033271879695545,6.34
1687033271880697705,6.34
1687033271881700666,6.34
1687033271882692766,6.34
1687033271883694736,6.34
1687033271884719207,6.34
1687033271885698423,6.34
1687033271886702927,6.34
1687033271887697823,6.34
1687033271888695544,6.34
1687033271889703164,6.34
1687033271890700544,6.34
1687033271891700700,6.34
1687033271892699413,6.34
1687033271893695962,6.34
1687033271894692731,6.34
1687033271895691214,6.34
1687033271896698753,6.34
1687033271897691175,6.34
1687033271898686020,6.34
1687033271899690755,6.34
1687033271900694407,6.34
1687033271901696286,6.34
1687033271902696752,6.34
1687033271903690486,6.34
1687033271904690551,6.34
1687033271905694244,6.34
1687033271906691424,6.34
1687033271907697881,6.34
1687033271908697877,6.34
1687033271909687072,6.34
1687033271910699881,6.34
1687033271911700488,6.34
1687033271912702357,6.34
1687033271913700308,6.34
1687033271914701666,6.34
1687033271915701692,6.34
