Time,Value
1687037537377446334,6.31
1687037537378426713,6.31
1687037537461432763,6.31
1687037537462431406,6.31
1687037537463432343,6.3
1687037537464425435,6.3
1687037537465426653,6.3
1687037537466426428,6.31
1687037537467429008,6.31
1687037537468428673,6.31
1687037537469423940,6.3
1687037537470429566,6.3
1687037537471426074,6.3
1687037537472423956,6.31
1687037537473422378,6.31
1687037537474421853,6.3
1687037537475418752,6.31
1687037537476425350,6.31
1687037537477424033,6.31
1687037537478419520,6.31
1687037537479429103,6.3
1687037537480416535,6.3
1687037537481426700,6.3
1687037537482422718,6.3
1687037537483429095,6.3
1687037537484422738,6.3
1687037537485424207,6.3
1687037537486421517,6.3
1687037537487437282,6.3
1687037537488427329,6.3
1687037537489432935,6.3
1687037537490429473,6.3
1687037537491428597,6.3
1687037537492425527,6.3
1687037537493435802,6.3
1687037537494428133,6.3
1687037537495428629,6.3
1687037537496437401,6.3
1687037537497422318,6.3
1687037537498427784,6.3
1687037537499421287,6.3
1687037537500425320,6.3
1687037537501428862,6.3
1687037537502422405,6.3
1687037537503428382,6.3
1687037537504424971,6.3
1687037537505421460,6.3
1687037537506431824,6.3
1687037537507426099,6.3
1687037537508424301,6.3
1687037537509436089,6.3
1687037537510433048,6.3
1687037537511426381,6.3
1687037537512429442,6.3
1687037537513433666,6.3
1687037537514423252,6.3
1687037537515431633,6.3
1687037537516424244,6.3
1687037537517422106,6.3
1687037537518428493,6.3
1687037537519424280,6.3
1687037537520422483,6.3
1687037537521423009,6.3
1687037537522425459,6.3
1687037537523428941,6.3
1687037537524423696,6.3
1687037537525425986,6.3
1687037537526430620,6.3
1687037537527423112,6.3
1687037537528423518,6.3
1687037537529428262,6.3
1687037537530425723,6.3
1687037537531440726,6.31
1687037537532429210,6.31
1687037537533425549,6.31
1687037537534429081,6.31
1687037537535431951,6.31
1687037537536426116,6.31
1687037537537425159,6.31
1687037537538421528,6.31
1687037537539433175,6.31
1687037537540424955,6.31
1687037537541425772,6.31
1687037537542428032,6.31
1687037537543432646,6.31
1687037537544426249,6.31
1687037537545429851,6.31
1687037537546430618,6.31
1687037537547423250,6.31
1687037537548430218,6.31
1687037537549435904,6.31
1687037537550431351,6.31
1687037537551432168,6.31
1687037537552425381,6.31
1687037537553423242,6.31
1687037537554427716,6.31
1687037537555424145,6.31
1687037537556424371,6.31
1687037537557424326,6.31
1687037537558426836,6.31
1687037537559429396,6.31
1687037537560428570,6.31
1687037537561422925,6.31
1687037537562437007,6.31
1687037537563425891,6.31
1687037537564434062,6.31
1687037537565428146,6.31
1687037537566427801,6.31
1687037537567422226,6.31
1687037537568430758,6.31
1687037537569426174,6.31
1687037537570423254,6.31
1687037537571431335,6.31
1687037537572427994,6.31
1687037537573423250,6.31
1687037537574422625,6.31
1687037537575423762,6.31
1687037537576423227,6.31
1687037537577440685,6.31
1687037537578429108,6.31
1687037537579429685,6.31
1687037537580420343,6.31
1687037537581422382,6.31
1687037537582423950,6.31
1687037537583428564,6.31
1687037537584423260,6.31
1687037537585423656,6.31
1687037537586428691,6.31
1687037537587422735,6.31
1687037537588423512,6.31
1687037537589422496,6.31
1687037537590426218,6.31
1687037537591422226,6.31
1687037537592422993,6.31
1687037537593418730,6.31
1687037537594430788,6.31
1687037537595424562,6.31
1687037537596423225,6.31
1687037537597429231,6.31
1687037537598419408,6.31
1687037537599427038,6.31
1687037537600427324,6.31
1687037537601429023,6.31
