Time,Value
1687036834825153121,6.31
1687036834826142606,6.31
1687036834827140839,6.31
1687036834828141736,6.31
1687036834829139016,6.31
1687036834830139502,6.31
1687036834831143625,6.31
1687036834832138992,6.31
1687036834833138577,6.31
1687036834834132210,6.31
1687036834835139950,6.31
1687036834836148041,6.31
1687036834837139871,6.31
1687036834838137101,6.31
1687036834839140924,6.31
1687036834840144155,6.31
1687036834841145082,6.31
1687036834842143515,6.31
1687036834843137178,6.31
1687036834844139728,6.31
1687036834845138832,6.31
1687036834846143987,6.31
1687036834847142680,6.31
1687036834848138568,6.31
1687036834849152880,6.31
1687036834850145472,6.31
1687036834851138654,6.31
1687036834852134842,6.31
1687036834853144356,6.31
1687036834854142407,6.31
1687036834855134077,6.31
1687036834856132700,6.31
1687036834857136703,6.31
1687036834858144373,6.31
1687036834859146312,6.31
1687036834860139404,6.31
1687036834861137997,6.31
1687036834862141709,6.31
1687036834863144199,6.31
1687036834864141219,6.31
1687036834865137007,6.31
1687036834866131913,6.31
1687036834867137118,6.31
1687036834868137193,6.31
1687036834869145454,6.31
1687036834870133026,6.31
1687036834871134505,6.31
1687036834872142285,6.31
1687036834873144795,6.31
1687036834874139210,6.31
1687036834875139606,6.31
1687036834876136245,6.31
1687036834877143885,6.31
1687036834878143499,6.31
1687036834879136872,6.31
1687036834880132790,6.31
1687036834881137494,6.31
1687036834882139914,6.31
1687036834883144127,6.31
1687036834884143852,6.31
1687036834885137376,6.31
1687036834886135988,6.31
1687036834887139290,6.31
1687036834888153252,6.31
1687036834889150231,6.31
1687036834890140158,6.31
1687036834891138560,6.31
1687036834892144336,6.31
1687036834893139904,6.31
1687036834894142624,6.31
1687036834895144794,6.31
1687036834896138116,6.31
1687036834897146257,6.31
1687036834898143497,6.31
1687036834899138563,6.31
1687036834900145652,6.31
1687036834901136621,6.31
1687036834902145934,6.31
1687036834903136281,6.31
1687036834904142688,6.31
1687036834905139297,6.31
1687036834906142549,6.31
1687036834907136313,nan
1687036834910142580,6.31
1687036834911143658,6.31
1687036834912140427,6.31
1687036834913143318,6.31
1687036834914142412,6.31
1687036834915138350,6.31
1687036834916131893,6.31
1687036834917146315,6.31
1687036834918138767,6.31
1687036834919148260,6.31
1687036834920149417,6.31
1687036834921139033,6.31
1687036834922145341,6.31
1687036834923138483,6.31
1687036834924137426,6.31
